Line Constraint Violations:
Line 24: Time Step 73, 1 violations
Line 24: Time Step 267, 2 violations
Line 24: Time Step 619, 4 violations
Line 24: Time Step 645, 3 violations
Line 24: Time Step 648, 3 violations
Line 24: Time Step 71, 1 violations
Line 24: Time Step 230, 2 violations
Line 24: Time Step 261, 1 violations
Line 24: Time Step 266, 1 violations
Line 24: Time Step 327, 1 violations
Line 24: Time Step 520, 2 violations
Line 24: Time Step 526, 1 violations
Line 24: Time Step 549, 2 violations
Line 24: Time Step 658, 1 violations
Line 24: Time Step 140, 3 violations
Line 24: Time Step 228, 1 violations
Line 24: Time Step 613, 3 violations
Line 24: Time Step 628, 1 violations
Line 24: Time Step 321, 1 violations
Line 24: Time Step 75, 1 violations
Line 24: Time Step 329, 1 violations
Line 24: Time Step 614, 2 violations
Line 24: Time Step 623, 1 violations
Line 24: Time Step 629, 1 violations
Line 24: Time Step 70, 1 violations
Line 24: Time Step 163, 1 violations
Line 24: Time Step 260, 1 violations
Line 24: Time Step 516, 2 violations
Line 24: Time Step 519, 2 violations
Line 24: Time Step 615, 2 violations
Line 24: Time Step 656, 1 violations
Line 24: Time Step 618, 2 violations
Line 24: Time Step 627, 2 violations
Line 24: Time Step 646, 2 violations
Line 24: Time Step 167, 2 violations
Line 24: Time Step 525, 2 violations
Line 24: Time Step 529, 1 violations
Line 24: Time Step 620, 1 violations
Line 24: Time Step 244, 1 violations
Line 24: Time Step 256, 1 violations
Line 24: Time Step 531, 2 violations
Line 24: Time Step 608, 1 violations
Line 24: Time Step 39, 1 violations
Line 24: Time Step 170, 1 violations
Line 24: Time Step 68, 1 violations
Line 24: Time Step 533, 2 violations
Line 24: Time Step 556, 1 violations
Line 24: Time Step 617, 2 violations
Line 24: Time Step 642, 1 violations
Line 24: Time Step 36, 1 violations
Line 24: Time Step 161, 1 violations
Line 24: Time Step 610, 1 violations
Line 24: Time Step 643, 1 violations
Line 24: Time Step 644, 1 violations
Line 24: Time Step 147, 1 violations
Line 24: Time Step 622, 1 violations
Line 24: Time Step 647, 1 violations
Line 24: Time Step 220, 1 violations
Line 24: Time Step 255, 1 violations
Line 24: Time Step 546, 1 violations
Line 24: Time Step 616, 1 violations
Line 24: Time Step 51, 1 violations
Line 24: Time Step 518, 1 violations
Line 24: Time Step 90, 1 violations
