Line Constraint Violations:
Line 24: Time Step 134, 1 violations
Line 24: Time Step 173, 2 violations
Line 24: Time Step 257, 2 violations
Line 24: Time Step 526, 1 violations
Line 24: Time Step 607, 1 violations
Line 24: Time Step 608, 3 violations
Line 24: Time Step 610, 3 violations
Line 24: Time Step 644, 2 violations
Line 24: Time Step 645, 4 violations
Line 24: Time Step 655, 2 violations
Line 24: Time Step 75, 2 violations
Line 24: Time Step 320, 1 violations
Line 24: Time Step 518, 2 violations
Line 24: Time Step 524, 2 violations
Line 24: Time Step 539, 1 violations
Line 24: Time Step 620, 2 violations
Line 24: Time Step 171, 1 violations
Line 24: Time Step 325, 2 violations
Line 24: Time Step 525, 2 violations
Line 24: Time Step 611, 1 violations
Line 24: Time Step 613, 1 violations
Line 24: Time Step 139, 1 violations
Line 24: Time Step 332, 1 violations
Line 24: Time Step 436, 1 violations
Line 24: Time Step 531, 3 violations
Line 24: Time Step 537, 3 violations
Line 24: Time Step 70, 1 violations
Line 24: Time Step 226, 1 violations
Line 24: Time Step 263, 1 violations
Line 24: Time Step 520, 3 violations
Line 24: Time Step 617, 2 violations
Line 24: Time Step 626, 1 violations
Line 24: Time Step 649, 1 violations
Line 24: Time Step 648, 2 violations
Line 24: Time Step 73, 1 violations
Line 24: Time Step 612, 1 violations
Line 24: Time Step 622, 1 violations
Line 24: Time Step 629, 1 violations
Line 24: Time Step 78, 1 violations
Line 24: Time Step 256, 2 violations
Line 24: Time Step 358, 1 violations
Line 24: Time Step 414, 1 violations
Line 24: Time Step 549, 1 violations
Line 24: Time Step 43, 1 violations
Line 24: Time Step 77, 1 violations
Line 24: Time Step 656, 1 violations
Line 24: Time Step 51, 1 violations
Line 24: Time Step 254, 1 violations
Line 24: Time Step 614, 4 violations
Line 24: Time Step 141, 2 violations
Line 24: Time Step 235, 2 violations
Line 24: Time Step 519, 1 violations
Line 24: Time Step 536, 1 violations
Line 24: Time Step 551, 1 violations
Line 24: Time Step 643, 1 violations
Line 24: Time Step 242, 1 violations
Line 24: Time Step 545, 1 violations
Line 24: Time Step 554, 1 violations
Line 24: Time Step 615, 2 violations
Line 24: Time Step 646, 2 violations
Line 24: Time Step 130, 1 violations
Line 24: Time Step 538, 1 violations
Line 24: Time Step 561, 1 violations
Line 24: Time Step 140, 1 violations
Line 24: Time Step 231, 1 violations
Line 24: Time Step 647, 1 violations
Line 24: Time Step 168, 1 violations
Line 24: Time Step 261, 1 violations
Line 24: Time Step 609, 1 violations
Line 24: Time Step 616, 1 violations
Line 24: Time Step 542, 1 violations
Line 24: Time Step 603, 1 violations
Line 24: Time Step 52, 1 violations
Line 24: Time Step 238, 1 violations
Line 24: Time Step 450, 1 violations
Line 24: Time Step 509, 1 violations
Line 24: Time Step 533, 1 violations
Line 24: Time Step 628, 1 violations
Line 24: Time Step 236, 1 violations
Line 28: Time Step 134, 1 violations
Line 28: Time Step 608, 2 violations
Line 28: Time Step 610, 2 violations
Line 28: Time Step 518, 2 violations
Line 28: Time Step 524, 2 violations
Line 28: Time Step 539, 1 violations
Line 28: Time Step 525, 1 violations
Line 28: Time Step 611, 1 violations
Line 28: Time Step 436, 1 violations
Line 28: Time Step 531, 3 violations
Line 28: Time Step 655, 1 violations
Line 28: Time Step 70, 1 violations
